Location,State,Total Biomass Residue (thousand tonnes/yr),Crop Residue,Manure Residue,Forest Residue,Primary Mill Residue,Secondary Mill Residue,Urban Residue,Landfill Residue
Calhoun,South Carolina,64262.199,9469.008,423.555,15269.000,0.000,8.165,1966.510,0.000
Aiken,South Carolina,93116.360,2594.913,1906.886,45801.000,0.000,771.142,16449.010,7455.000
Georgetown,South Carolina,384084.130,1689.355,1.915,43974.000,321514.000,758.894,6588.314,2890.000
Orangeburg,South Carolina,342936.328,33199.380,3298.717,62508.000,108201.000,550.836,10943.917,2677.904
Berkeley,South Carolina,213124.160,2256.305,104.435,28247.000,159850.000,1008.677,16187.715,2684.000
Barnwell,South Carolina,74421.554,4340.019,287.821,20391.000,0.000,244.800,2982.528,0.000
Allendale,South Carolina,191500.547,12297.030,2.681,16147.000,113332.000,252.965,1250.796,0.000
Hampton,South Carolina,174054.106,8328.141,75.691,50777.000,99624.000,244.800,2749.127,0.000
Phillips,Colorado,112099.309,111400.312,143.929,0.000,0.000,0.000,547.660,0.000
Providence,Rhode Island,113147.979,0.000,0.000,3578.000,13555.000,2833.402,64930.696,27223.000
Licking,Ohio,108956.816,74279.999,441.181,8105.000,0.000,1759.406,16286.996,0.000
Erie,Pennsylvania,92735.458,20279.727,35.282,8365.000,10118.000,4005.230,28179.087,15673.161
Bradford,Pennsylvania,83899.911,4927.121,279.125,31532.000,19710.000,762.977,6599.542,5111.821
Tioga,Pennsylvania,75390.078,2181.001,209.577,41851.000,15248.000,1718.582,4837.383,0.000
Philadelphia,Pennsylvania,156149.832,0.000,0.000,252.000,0.000,2138.926,151249.485,0.000
Elmore,Idaho,59789.040,42766.565,35.227,13891.000,0.000,248.882,2799.196,0.000
Texas,Oklahoma,189746.635,163412.492,23967.156,0.000,0.000,8.165,2325.573,0.000
Bingham,Idaho,171240.268,164761.886,816.289,1270.000,0.000,261.130,4061.950,0.000
Minidoka,Idaho,75219.486,72077.507,861.618,0.000,0.000,8.165,2238.835,0.000
Noble,Oklahoma,53837.650,46571.161,52.414,0.000,0.000,0.000,1216.757,0.000
Adams,Illinois,376250.797,256393.122,1685.471,7558.000,0.000,261.130,7623.675,6914.154
Menard,Illinois,193587.338,156021.571,606.087,67.000,0.000,0.000,1600.097,0.000
Sangamon,Illinois,511627.602,413194.099,895.370,300.000,596.000,1543.183,20910.011,11769.578
Wagoner,Oklahoma,65954.882,23403.327,119.832,0.000,0.000,750.730,6130.276,34895.000
Pike,Illinois,456165.270,232057.908,2161.247,15921.000,8981.000,252.965,1939.389,0.000
Christian,Illinois,430697.505,356408.782,511.480,3849.000,0.000,248.882,4033.788,21497.161
Canadian,Oklahoma,78085.634,52193.269,394.723,0.000,0.000,8.165,9351.148,6209.161
Oklahoma,Oklahoma,122063.496,5344.306,29.451,0.000,0.000,8021.808,70786.814,36789.000
Shelby,Illinois,346084.924,262610.705,1057.099,7702.000,0.000,497.765,2525.215,0.000
Montgomery,Illinois,377628.214,278150.195,1089.853,20904.000,1402.000,12.247,3441.084,6225.541
Macoupin,Illinois,451421.028,328871.988,1268.541,25357.000,18554.000,281.542,5575.785,0.000
Caddo,Oklahoma,106372.934,61029.269,573.756,0.000,0.000,4.082,3668.800,0.000
Le Flore,Oklahoma,71397.212,8637.635,1222.510,56142.000,0.000,4.082,5311.432,0.000
Jersey,Illinois,137956.218,101379.819,89.448,3387.000,0.000,248.882,2485.728,0.000
Fayette,Illinois,273207.514,153509.209,196.228,15245.000,15084.000,734.400,2318.418,0.000
Crawford,Illinois,187106.273,124770.259,339.568,1349.000,0.000,4.082,2356.419,0.000
Kiowa,Oklahoma,65062.336,63718.657,54.701,0.000,0.000,0.000,1272.067,0.000
Clinton,Illinois,225059.152,150966.131,3782.212,21139.000,6868.000,779.306,3869.561,0.000
White,Illinois,213325.841,106138.612,262.344,14524.000,25295.000,4.082,1725.327,0.000
Ashtabula,Ohio,75656.091,22828.832,380.388,11568.000,6402.000,1253.477,11734.815,6440.629
Randolph,Illinois,173839.489,99209.967,241.644,17843.000,0.000,493.682,3876.511,0.000
Lucas,Ohio,109152.186,38545.450,205.864,536.000,0.000,3045.542,50917.852,12790.281
Cuyahoga,Ohio,245477.820,0.000,0.000,2086.000,0.000,11561.033,154581.705,74944.000
Ottawa,Ohio,81757.273,49236.742,83.511,264.000,4961.000,8.165,4718.482,13912.600
Wood,Ohio,250394.748,177668.496,198.669,803.000,0.000,1983.794,13583.108,30066.000
Lorain,Ohio,111433.043,40909.112,326.744,383.000,0.000,3008.801,32056.168,25737.210
Sandusky,Ohio,138294.781,113225.400,264.550,3616.000,0.000,1237.147,6930.977,0.000
Erie,Ohio,74963.480,44622.450,77.685,1762.000,5795.000,522.259,9169.187,8247.561
Summit,Ohio,88121.839,1935.543,0.000,6588.000,0.000,4511.160,60097.362,13878.845
Portage,Ohio,75792.184,17113.474,163.103,5539.000,0.000,1734.912,17105.056,32311.199
Medina,Ohio,56093.295,21436.562,236.796,12649.000,0.000,2277.583,17088.903,0.000
Mahoning,Ohio,111433.053,13732.736,258.896,6979.000,11883.000,3763.613,28964.500,44491.000
Ashland,Ohio,87672.516,36585.247,642.797,1816.000,15312.000,522.259,5904.925,2694.503
Richland,Ohio,94900.867,40211.351,479.414,4687.000,0.000,1273.889,14535.887,5553.961
Stark,Ohio,172169.623,28265.554,615.331,8694.000,37662.000,3543.307,42308.264,49077.000
Lake,Illinois,138297.824,16183.613,0.000,1949.000,0.000,5568.826,68611.398,44919.480
Tuscarawas,Ohio,126623.886,15822.940,628.319,43381.000,24177.000,2600.849,10245.479,24299.051
McHenry,Illinois,178583.554,130706.491,602.772,6052.000,0.000,3070.037,28110.408,0.000
Coshocton,Ohio,104610.197,25884.485,610.542,43418.000,8143.000,996.430,4239.163,0.000
Delaware,Ohio,93445.151,72488.693,311.425,1279.000,3258.000,1045.418,12175.467,0.000
Ogle,Illinois,398699.615,312484.177,862.757,4957.000,0.000,252.965,5426.727,13597.000
Belmont,Ohio,66062.279,423.598,132.599,11552.000,45547.000,244.800,8046.157,0.000
Muskingum,Ohio,52084.197,16370.974,349.130,12420.000,6637.000,1265.724,9635.657,0.000
Franklin,Ohio,195720.261,35491.120,86.967,47.000,0.000,11242.750,118423.577,24606.000
Madison,Ohio,174903.541,145709.832,325.172,69.000,0.000,289.706,4542.244,0.000
Fairfield,Ohio,151291.556,84177.885,377.063,1738.000,7153.000,32.659,13770.629,14163.000
Cook,Illinois,919292.515,9266.897,0.000,1849.000,0.000,32009.954,573031.899,294232.900
Greene,Ohio,129932.526,97808.510,415.699,8145.000,0.000,505.930,16370.556,1053.520
Pickaway,Ohio,192355.380,142827.540,453.764,18599.000,0.000,4.082,5927.508,0.000
Kane,Illinois,222851.055,135678.990,512.837,1969.000,0.000,6339.967,43246.230,33505.900
Ross,Ohio,253128.561,83672.112,184.370,84508.000,6770.000,4.082,8209.861,5358.331
Highland,Ohio,223811.555,80851.813,270.788,5468.000,0.000,12.247,4615.525,0.000
Hamilton,Ohio,154575.422,4035.139,19.421,554.000,0.000,10528.762,93572.617,44450.000
Meigs,Ohio,58888.295,2421.007,13.378,15859.000,34603.000,734.400,2554.004,0.000
Pike,Ohio,113180.917,10513.216,11.225,23682.000,41877.000,1033.171,3065.757,5550.321
Albany,New York,64529.187,545.234,30.549,3373.000,4930.000,2244.924,31495.091,18992.000
Chenango,New York,91697.165,3121.734,261.044,37471.000,27828.000,1000.512,5677.390,0.000
Kankakee,Illinois,319324.470,287993.915,315.853,1.000,0.000,1481.947,11041.569,5162.273
Steuben,New York,82613.649,13115.569,323.305,22350.000,8322.000,1261.642,10828.191,2853.000
Chautauqua,New York,126154.736,6647.218,298.288,51037.000,34660.000,1375.949,15305.285,8757.161
Broome,New York,64857.728,546.833,107.719,23022.000,4196.000,297.871,21532.226,9303.161
Tioga,New York,108165.562,1940.272,127.561,25049.000,69488.000,1261.642,5627.561,0.000
Livingston,Illinois,640509.696,554660.471,2169.821,0.000,0.000,762.977,4219.346,23334.000
Westchester,New York,130388.504,0.000,0.361,3724.000,0.000,5176.303,98827.647,21133.161
Bronx,New York,147533.084,0.000,0.000,0.000,0.000,2841.566,142487.848,0.000
New York,New York,173690.667,0.000,0.000,0.000,0.000,6609.262,164539.499,0.000
Suffolk,New York,256281.372,819.258,2.643,6276.000,0.000,14023.368,152032.243,80681.000
Richmond,New York,249607.303,0.000,0.000,336.000,0.000,579.413,47806.821,200151.320
Washoe,Nevada,59426.781,0.000,4.257,0.000,0.000,6046.178,39860.757,12954.215
Peoria,Illinois,284049.657,215911.120,485.288,855.000,0.000,1029.089,19869.329,24188.400
Mason,Illinois,285751.663,206486.454,208.059,4703.000,17043.000,4.082,1705.476,0.000
Schuyler,Illinois,239937.641,122711.238,778.429,28428.000,0.000,0.000,764.476,0.000
Clark,Nevada,217348.192,0.000,0.000,0.000,0.000,8674.704,157579.523,48819.000
Putnam,Indiana,185940.864,129323.403,685.866,14900.000,12973.000,0.000,4304.784,0.000
Rio Arriba,New Mexico,104887.688,0.000,27.687,18152.000,82312.000,24.494,4303.394,0.000
Morgan,Indiana,126934.451,63808.166,185.921,27425.000,21235.000,265.212,7906.468,0.000
Bernalillo,New Mexico,95002.832,0.000,1211.443,377.000,0.000,6601.097,57023.769,28869.000
Sullivan,Indiana,125075.425,98320.966,242.039,9517.000,0.000,244.800,2671.475,772.657
Jennings,Indiana,88278.750,55419.693,200.721,13784.000,0.000,244.800,3154.205,1005.289
Jackson,Indiana,168053.755,91707.673,822.415,17897.000,14352.000,1249.394,5004.105,11750.800
Jefferson,Indiana,56472.827,33820.690,139.645,8131.000,7192.000,996.430,3810.945,0.000
Knox,Indiana,195768.789,169659.844,785.165,9213.000,0.000,742.565,4947.675,481.660
Otero,New Mexico,110881.445,0.000,25.756,21698.000,82312.000,8.165,6734.508,0.000
Daviess,Indiana,170035.797,100869.215,2502.412,33608.000,10629.000,795.636,3595.162,1107.699
Scott,Indiana,64975.640,19582.090,465.620,11677.000,18063.000,742.565,2628.313,0.000
Washington,Indiana,142011.207,35290.347,573.637,29052.000,14831.000,48.989,3207.094,637.875
Clark,Indiana,65101.333,25306.592,121.347,8202.000,0.000,2808.907,11588.175,10339.400
Passaic,New Jersey,55540.914,0.000,0.000,17.000,0.000,2915.050,51800.173,0.000
Bergen,New Jersey,250706.096,0.000,0.000,98.000,0.000,5927.933,93534.185,149684.000
Pike,Indiana,102968.614,40155.170,133.397,10876.000,29098.000,0.000,1651.057,2907.000
Morris,New Jersey,59566.944,460.596,1.196,2330.000,918.000,4070.549,50999.081,0.000
Gibson,Indiana,158728.368,138335.905,741.322,6519.000,0.000,0.000,4446.631,624.821
Essex,New Jersey,91822.478,0.000,0.000,0.000,0.000,7037.626,83472.500,0.000
Hudson,New Jersey,158566.942,0.000,0.000,0.000,0.000,2281.666,64595.275,90683.000
Dixon,Nebraska,312090.747,116349.070,2313.421,555.000,0.000,244.800,696.185,0.000
Burt,Nebraska,266548.319,174372.688,1751.117,527.000,0.000,0.000,855.652,0.000
Colfax,Nebraska,158623.632,125317.095,2744.307,1442.000,0.000,0.000,1146.690,0.000
Platte,Nebraska,312969.199,265926.695,4701.921,1456.000,0.000,16.330,3568.080,0.000
Dodge,Nebraska,248218.760,208018.355,2255.538,379.000,17072.000,261.130,3971.295,4172.176
Washington,Nebraska,146674.076,115997.005,1446.633,27.000,0.000,8.165,2062.526,0.000
Butler,Nebraska,266217.483,177017.587,986.100,5527.000,5389.000,0.000,962.841,1041.001
Saunders,Nebraska,356154.734,262210.198,1281.337,4129.000,0.000,244.800,2177.843,0.000
Polk,Nebraska,186091.722,181780.709,1311.829,411.000,0.000,0.000,619.307,0.000
Merrick,Nebraska,193708.023,183609.264,695.864,4143.000,1533.000,0.000,901.010,0.000
Lincoln,Nebraska,233419.840,222067.009,810.651,5796.000,0.000,24.494,3894.262,770.158
Douglas,Nebraska,111436.258,38582.740,159.095,29.000,0.000,4074.631,51004.301,11333.161
Sarpy,Nebraska,59416.903,35002.935,237.452,90.000,0.000,771.142,13464.075,4412.218
Hamilton,Nebraska,348935.827,344264.137,1010.858,0.000,0.000,244.800,1032.691,0.000
Cass,Nebraska,144231.779,121137.156,575.774,746.000,0.000,4.082,2672.497,1469.052
Dawson,Nebraska,253535.668,242038.605,1482.901,0.000,0.000,4.082,2675.902,0.000
Buffalo,Nebraska,264686.295,226741.726,921.195,14.000,0.000,252.965,4822.682,824.000
Seward,Nebraska,249707.279,188764.730,1301.777,0.000,0.000,257.047,1811.684,472.812
Lancaster,Nebraska,326051.697,135074.253,1078.422,35.000,1361.000,1812.478,27579.150,6336.901
Otoe,Nebraska,171375.270,66665.147,1479.594,298.000,0.000,0.000,1690.876,413.574
Saline,Nebraska,211326.997,164083.881,1252.643,1265.000,0.000,4.082,1520.316,0.000
Kearney,Nebraska,269802.363,263722.815,500.105,0.000,0.000,4.082,755.820,0.000
Phelps,Nebraska,312114.074,305543.815,722.957,0.000,0.000,0.000,1070.471,1476.649
Richardson,Nebraska,252769.979,87197.111,833.586,970.000,0.000,4.082,1046.748,0.000
Pembina,North Dakota,321664.502,176869.736,110.106,7707.000,0.000,4.082,848.085,0.000
Ward,North Dakota,395389.204,233286.803,77.985,2351.000,0.000,534.506,6080.510,0.000
Williams,North Dakota,140594.145,138212.847,40.504,0.000,0.000,265.212,2042.906,0.000
McHenry,North Dakota,590232.268,111404.210,69.631,103.000,0.000,0.000,682.217,0.000
Mountrail,North Dakota,317682.823,124454.599,28.961,0.000,0.000,0.000,655.055,0.000
Grand Forks,North Dakota,632334.756,237836.097,87.429,116.000,0.000,273.377,6803.036,0.000
McKenzie,North Dakota,78629.194,77881.847,76.258,0.000,0.000,4.082,657.520,0.000
McLean,North Dakota,467730.181,182761.194,32.438,0.000,0.000,4.082,1101.364,0.000
Dunn,North Dakota,50925.552,49611.057,102.130,760.000,0.000,0.000,446.412,0.000
Traill,North Dakota,263464.625,227840.729,16.232,305.000,0.000,244.800,837.416,0.000
Burleigh,North Dakota,420838.802,44071.654,38.828,0.000,0.000,1265.724,7311.284,0.000
Stutsman,North Dakota,982273.713,238192.959,82.763,0.000,0.000,0.000,2255.001,0.000
White,Indiana,293736.240,263784.330,1581.847,2516.000,7795.000,0.000,3164.744,5481.161
Cass,North Dakota,670853.264,514345.532,205.156,1511.000,0.000,2792.578,12618.308,4613.000
Stark,North Dakota,62080.228,57897.123,118.579,1182.000,0.000,518.177,2326.918,0.000
Ashe,North Carolina,54433.745,0.000,17.147,26164.000,24242.000,257.047,2639.961,1073.269
Tippecanoe,Indiana,233139.692,204948.284,1533.166,1792.000,0.000,742.565,17323.752,0.000
Surry,North Carolina,147936.312,7780.094,3097.298,31697.000,88438.000,1771.654,7543.439,6778.000
Gates,North Carolina,115574.379,17210.319,1412.303,27496.000,66571.000,0.000,1060.226,0.000
Camden,North Carolina,57156.796,42060.550,106.353,13844.000,0.000,248.882,784.928,0.000
Sumner,Kansas,261308.324,227915.328,201.870,92.000,0.000,8.165,3287.361,0.000
Rockingham,North Carolina,98772.552,4013.718,292.367,47622.000,28068.000,530.424,9540.546,5821.000
Granville,North Carolina,63935.734,3253.267,136.854,34575.000,0.000,1233.065,5161.921,2910.000
Halifax,North Carolina,291743.437,24597.920,2431.169,65288.000,149226.000,265.212,6601.079,2099.483
Pasquotank,North Carolina,91056.010,63428.413,42.239,21149.000,0.000,252.965,3609.105,2187.269
Wilkes,North Carolina,199283.608,1080.747,8065.731,49515.000,123354.000,2269.418,6798.596,6411.000
Perquimans,North Carolina,63350.199,44889.128,785.697,15256.000,0.000,248.882,1236.905,773.267
Franklin,North Carolina,137005.329,6073.914,1175.115,37193.000,60982.000,1759.406,5037.106,1529.493
Forsyth,North Carolina,69934.487,3121.289,9.233,15713.000,0.000,4245.948,31130.097,14855.000
Guilford,North Carolina,124353.392,8799.891,539.650,26832.000,0.000,17754.034,42722.513,26296.000
Alamance,North Carolina,168320.478,3246.363,723.241,23437.000,116434.000,546.754,13459.631,8695.000
Orange,North Carolina,85097.271,2078.996,282.040,18591.000,44111.000,261.130,12192.018,5845.161
Bertie,North Carolina,167095.484,29575.302,3104.828,68086.000,53310.000,489.600,2084.299,9599.000
Fountain,Indiana,209646.823,187757.130,444.165,5933.000,0.000,493.682,2146.039,1009.601
Nash,North Carolina,86591.751,14530.029,3831.614,38747.000,0.000,1759.406,9539.948,5971.622
Edgecombe,North Carolina,85213.669,26127.556,4874.434,24616.000,0.000,493.682,5787.772,6337.469
Caldwell,North Carolina,61186.081,798.265,328.936,25265.000,15780.000,3159.850,7986.561,6737.000
Hamilton,Indiana,135280.849,109773.420,408.847,515.000,0.000,2273.501,21463.582,0.000
Wake,North Carolina,241460.239,4250.307,49.933,59811.000,63194.000,7940.304,63935.063,39701.000
Martin,North Carolina,71401.034,18487.042,957.962,42705.000,4281.000,248.882,2852.633,0.000
Iredell,North Carolina,105766.984,10361.644,2028.404,20422.000,38969.000,2560.025,12729.734,7084.399
Vermillion,Indiana,57755.755,48102.023,407.293,3137.000,0.000,4.082,2375.682,2352.000
Davidson,North Carolina,102328.641,5718.019,593.986,31896.000,30373.000,4723.445,14845.381,9303.161
Tyrrell,North Carolina,79020.158,56158.522,850.821,11682.000,7642.000,0.000,418.303,0.000
Washington,North Carolina,332734.490,56210.805,2121.675,23834.000,245160.000,734.400,1383.557,888.684
McDowell,North Carolina,60377.123,0.000,232.517,22138.000,29544.000,2032.783,4340.455,1801.485
Randolph,North Carolina,173899.109,6880.799,6657.145,51314.000,72569.000,3139.438,13424.747,6237.225
Chatham,North Carolina,163531.294,1285.865,4042.683,55633.000,90484.000,526.342,5154.923,1369.599
Greene,North Carolina,107998.047,21406.528,12768.018,67405.000,0.000,0.000,2003.744,360.858
Parke,Indiana,168115.034,93887.683,538.104,34884.000,25271.000,489.600,2064.419,0.000
Rutherford,North Carolina,184417.377,640.057,184.707,56883.000,100512.000,1265.724,6523.054,6357.000
Wayne,North Carolina,350119.308,53584.931,19835.490,55944.000,197687.000,289.706,11607.420,7330.973
Cleveland,North Carolina,106138.526,5377.692,792.348,17789.000,5424.000,542.671,9889.241,4999.116
Harnett,North Carolina,78623.317,13397.588,4042.100,27831.000,11304.000,265.212,9540.285,5539.000
Marion,Indiana,259429.855,11795.158,0.932,1924.000,0.000,10467.526,98953.149,134860.800
Moore,North Carolina,70744.563,1971.791,4511.031,47575.000,0.000,1008.677,8082.911,5326.894
Mecklenburg,North Carolina,104603.228,1289.307,6.815,11883.000,0.000,9756.720,70297.420,9686.529
Montgomery,North Carolina,315401.416,993.834,2852.009,57959.000,236113.000,514.094,2976.541,9485.161
Cabarrus,North Carolina,51648.947,5016.910,600.291,9556.000,0.000,1253.477,13395.367,16548.000
Stanly,North Carolina,159760.025,16207.636,1681.356,8756.000,99245.000,1073.995,5857.658,5706.361
Hendricks,Indiana,150006.215,114871.026,466.136,6262.000,0.000,1008.677,12006.678,12644.936
Lenoir,North Carolina,99866.040,37704.798,9441.877,16851.000,20272.000,273.377,6286.067,5117.161
Craven,North Carolina,210566.051,24514.317,2572.606,39907.000,122436.000,1000.512,9490.942,7712.000
Pamlico,North Carolina,61988.845,29311.444,94.536,30687.000,0.000,0.000,1394.789,327.278
Sampson,North Carolina,226675.107,50826.859,61285.533,52254.000,43338.000,762.977,6156.228,7483.161
Harvey,Kansas,162109.302,133247.681,343.195,101.000,0.000,1535.018,4025.282,5683.911
Reno,Kansas,533951.774,170123.857,487.712,12.000,0.000,750.730,7937.086,7708.879
Cumberland,North Carolina,104919.379,13840.400,3845.412,41551.000,0.000,318.283,30907.931,7810.000
Scotland,North Carolina,86221.313,6191.515,4720.590,14864.000,51174.000,257.047,3810.888,1932.259
Robeson,North Carolina,130317.962,67287.813,13066.465,24688.000,0.000,522.259,12888.971,2472.378
Bladen,North Carolina,171199.149,28175.884,24573.644,59508.000,45795.000,269.294,3617.397,1558.859
Butler,Kansas,114420.375,95877.392,837.342,141.000,0.000,248.882,7301.705,0.000
Carteret,North Carolina,66757.473,41829.781,0.000,16084.000,0.000,526.342,6259.350,1959.804
Onslow,North Carolina,78386.346,18635.732,5722.183,29994.000,0.000,505.930,15612.732,7561.000
Columbus,North Carolina,682224.022,37300.603,7905.955,107459.000,513922.000,1261.642,5792.149,5272.487
Pender,North Carolina,102353.853,17692.255,8068.847,69852.000,0.000,505.930,4323.458,860.932
Brunswick,North Carolina,57546.669,7298.124,2198.077,36035.000,0.000,1486.030,7737.417,2605.754
Flathead,Montana,2074656.981,17502.414,83.455,108308.000,1937052.000,1359.619,8338.348,1890.000
Lincoln,Montana,106337.311,0.000,2.668,103178.000,0.000,269.294,2856.200,0.000
Blaine,Montana,57206.104,54813.557,73.643,1310.000,0.000,0.000,997.314,0.000
Hill,Montana,104413.869,101691.114,92.058,697.000,0.000,0.000,1906.127,0.000
Sheridan,Montana,86734.328,86185.836,26.325,0.000,0.000,0.000,515.380,0.000
Valley,Montana,81720.065,80593.107,48.065,0.000,0.000,0.000,1066.202,0.000
Glacier,Montana,67786.413,64855.136,218.272,867.000,0.000,0.000,1824.100,0.000
Toole,Montana,81652.975,80806.893,111.021,0.000,0.000,0.000,726.351,0.000
Roosevelt,Montana,96006.834,94867.564,23.232,0.000,0.000,0.000,1098.477,0.000
Pondera,Montana,100079.608,99064.929,153.950,0.000,0.000,4.082,846.025,0.000
Chouteau,Montana,130622.730,128374.679,42.114,1397.000,0.000,0.000,799.065,0.000
Teton,Montana,78218.645,76877.450,210.001,0.000,0.000,0.000,1120.537,0.000
Sedgwick,Kansas,269956.944,167529.432,316.463,90.000,0.000,3535.142,54663.455,22475.611
Union,Iowa,258375.127,98721.515,464.865,1844.000,0.000,0.000,1360.382,0.000
Cascade,Montana,80628.541,50308.893,222.429,10100.000,0.000,518.177,8947.165,10399.000
Missoula,Montana,130588.868,757.000,7.883,109988.000,0.000,1559.513,10817.054,7301.000
LaPorte,Indiana,206440.041,144324.140,1568.438,3740.000,0.000,530.424,13239.688,21490.720
Clay,Kansas,187370.723,89258.398,763.712,111.000,0.000,8.165,1328.356,0.000
Gallatin,Montana,63750.592,48094.536,346.920,4204.000,0.000,1555.430,7651.541,1786.000
Riley,Kansas,60039.625,33257.163,222.311,171.000,0.000,24.494,7613.245,0.000
Pottawatomie,Kansas,118091.593,32760.900,561.730,5531.000,386.000,16.330,2361.223,0.000
Jefferson,Kansas,116651.458,34662.174,188.332,6908.000,0.000,505.930,2296.418,6398.812
Leavenworth,Kansas,76432.689,22887.900,265.939,6208.000,0.000,24.494,8313.265,0.000
DeSoto,Mississippi,68630.474,24836.391,14.151,2895.000,0.000,1257.559,10802.547,0.000
Marshall,Mississippi,125572.731,16407.250,26.456,39605.000,0.000,257.047,3557.792,0.000
Tunica,Mississippi,137872.886,113103.077,0.000,9981.000,0.000,0.000,1186.526,1824.270
Tate,Mississippi,84529.163,21130.633,124.105,2756.000,0.000,0.000,2604.371,0.000
Lafayette,Mississippi,99784.852,5078.292,11.485,39364.000,0.000,252.965,4201.771,0.000
Coahoma,Mississippi,258869.746,180673.477,0.000,5381.000,0.000,12.247,3215.505,0.000
Lee,Mississippi,71612.789,17172.675,301.064,12780.000,0.000,1273.889,7687.160,0.000
Tallahatchie,Mississippi,271315.401,118249.897,8.819,28927.000,0.000,4.082,1476.549,0.000
Bolivar,Mississippi,326715.143,294055.061,3.281,5408.000,0.000,248.882,4207.368,0.000
Monroe,Mississippi,184990.420,26420.558,238.658,41683.000,0.000,767.059,3857.104,0.000
Sunflower,Mississippi,235064.206,199845.620,1.641,1218.000,0.000,4.082,3586.747,0.000
Clay,Mississippi,142910.953,5535.268,17.433,25256.000,0.000,8.165,2268.400,0.000
Leflore,Mississippi,246855.612,158350.746,2.666,15304.000,0.000,12.247,3941.246,902.458
Lowndes,Mississippi,186429.020,17691.162,13.536,34814.000,0.000,771.142,6464.894,10213.161
Webster,Mississippi,102811.020,6952.301,9.639,38315.000,0.000,265.212,1110.682,0.000
Montgomery,Mississippi,253310.573,6979.105,14.356,37025.000,169480.000,24.494,1479.993,0.000
Carroll,Mississippi,145744.127,14682.841,18.253,27588.000,0.000,0.000,1066.963,0.000
Choctaw,Mississippi,112596.367,0.000,769.553,67140.000,0.000,248.882,1148.356,0.000
Washington,Mississippi,281938.109,240931.214,2.666,2884.000,0.000,257.047,6602.711,7119.161
Holmes,Mississippi,254033.882,48339.161,11.895,67911.000,0.000,0.000,2322.521,1592.500
Humphreys,Mississippi,107902.077,77248.773,0.000,9214.000,0.000,0.000,1291.820,0.000
Attala,Mississippi,163585.718,4627.622,17.227,76493.000,0.000,4.082,2129.519,0.000
Sharkey,Mississippi,141577.901,88110.247,0.000,11587.000,0.000,0.000,833.489,0.000
Yazoo,Mississippi,396818.190,106105.375,194.371,63151.000,34389.000,746.647,3061.267,0.000
Issaquena,Mississippi,137036.796,58040.143,1.846,56269.000,0.000,0.000,225.302,0.000
Madison,Mississippi,363088.704,27666.958,101.355,79852.000,0.000,1237.147,7761.618,25853.000
Warren,Mississippi,302583.742,20856.356,7.178,81320.000,151430.000,746.647,5281.713,0.000
Rankin,Mississippi,181197.843,5182.924,3987.175,106910.000,0.000,2470.212,12243.307,0.000
Hinds,Mississippi,286507.907,16063.708,35.685,78332.000,0.000,3200.530,27208.865,6632.857
Claiborne,Mississippi,261480.893,4367.702,13.946,61657.000,116404.000,12.247,1353.743,0.000
Copiah,Mississippi,270082.686,0.000,989.072,111366.000,103814.000,988.265,3121.506,0.000
Simpson,Mississippi,118985.621,641.815,5178.175,71699.000,0.000,257.047,2919.957,0.000
Jefferson,Mississippi,84262.862,2165.800,456.178,54979.000,0.000,248.882,1055.793,296.940
Covington,Mississippi,123470.564,0.000,1935.304,40943.000,31826.000,244.800,1922.793,0.000
Jefferson Davis,Mississippi,74535.546,0.000,1151.714,32536.000,0.000,0.000,1383.317,0.000
Adams,Mississippi,267526.818,0.000,4.922,51196.000,125612.000,0.000,3856.214,2463.955
Wilkinson,Mississippi,190816.185,0.000,18.048,126881.000,42902.000,244.800,1021.685,0.000
Amite,Mississippi,278038.332,0.000,1251.814,72704.000,137078.000,4.082,1528.912,0.000
Pearl River,Mississippi,127722.900,0.000,24.816,66856.000,0.000,261.130,5180.357,3207.000
Shawnee,Kansas,108587.372,45613.711,86.746,5423.000,0.000,754.812,20878.665,0.000
Wabaunsee,Kansas,84877.940,23051.691,155.638,3124.000,0.000,4.082,824.152,0.000
Harrison,Mississippi,56984.611,0.000,8.127,20715.000,0.000,1759.406,21508.554,12680.000
Clark,Missouri,234806.183,86606.346,606.463,6724.000,8032.000,4.082,790.769,0.000
Schuyler,Missouri,123549.434,18521.617,285.751,1013.000,0.000,0.000,535.428,0.000
Putnam,Missouri,212939.112,22122.325,112.325,2908.000,1728.000,4.082,556.929,0.000
Nodaway,Missouri,419043.314,147287.457,2236.686,2439.000,0.000,244.800,2427.261,1459.874
Dickinson,Kansas,237794.156,85487.983,301.395,1231.000,0.000,8.165,2587.865,0.000
Holt,Missouri,185460.599,153758.005,559.183,1506.000,0.000,248.882,661.358,0.000
Andrew,Missouri,183733.698,74432.760,995.414,2142.000,1947.000,248.882,1758.545,51.063
Livingston,Missouri,336142.799,97571.375,372.554,6827.000,12051.000,4.082,1643.102,1053.799
Marion,Missouri,198577.145,81831.043,1134.650,16961.000,8226.000,12.247,3198.021,0.000
Buchanan,Missouri,156514.523,69547.344,273.206,2921.000,11849.000,32.659,9351.543,8384.691
Carroll,Missouri,468758.649,158165.615,1222.926,13246.000,0.000,261.130,1096.691,0.000
Pike,Missouri,187780.006,94942.433,1372.193,11824.000,14500.000,252.965,2229.111,260.773
Platte,Missouri,96262.615,60835.560,240.284,1076.000,0.000,750.730,7867.282,0.000
